Bulbasaur,1,Grass,Poison,45,49,49,65,65,45
Ivysaur,2,Grass,Poison,60,62,63,80,80,60
Venusaur,3,Grass,Poison,80,82,83,100,100,80
Charmander,4,Fire,,39,52,43,60,50,65
Charmeleon,5,Fire,,58,64,58,80,65,80
Charizard,6,Fire,Flying,78,84,78,109,85,100
Squirtle,7,Water,,44,48,65,50,64,43
Wartortle,8,Water,,59,63,80,65,80,58
Blastoise,9,Water,,79,83,100,85,105,78
Caterpie,10,Bug,,45,30,35,20,20,45
Metapod,11,Bug,,50,20,55,25,25,30
Butterfree,12,Bug,Flying,60,45,50,90,80,70
Weedle,13,Bug,Poison,40,35,30,20,20,50
Kakuna,14,Bug,Poison,45,25,50,25,25,35
Beedrill,15,Bug,Poison,65,90,40,45,80,75
Pidgey,16,Normal,Flying,40,45,40,35,35,56
Pidgeotto,17,Normal,Flying,63,60,55,50,50,71
Pidgeot,18,Normal,Flying,83,80,75,70,70,101
Rattata,19,Normal,,30,56,35,25,35,72
Raticate,20,Normal,,55,81,60,50,70,97
Spearow,21,Normal,Flying,40,60,30,31,31,70
Fearow,22,Normal,Flying,65,90,65,61,61,100
Ekans,23,Poison,,35,60,44,40,54,55
Arbok,24,Poison,,60,95,69,65,79,80
Pikachu,25,Electric,,35,55,40,50,50,90
Raichu,26,Electric,,60,90,55,90,80,110
Sandshrew,27,Ground,,50,75,85,20,30,40
Sandslash,28,Ground,,75,100,110,45,55,65
Nidoran♀,29,Poison,,55,47,52,40,40,41
Nidorina,30,Poison,,70,62,67,55,55,56
Nidoqueen,31,Poison,Ground,90,92,87,75,85,76
Nidoran♂,32,Poison,,46,57,40,40,40,50
Nidorino,33,Poison,,61,72,57,55,55,65
Nidoking,34,Poison,Ground,81,102,77,85,75,85
Clefairy,35,Fairy,,70,45,48,60,65,35
Clefable,36,Fairy,,95,70,73,95,90,60
Vulpix,37,Fire,,38,41,40,50,65,65
Ninetales,38,Fire,,73,76,75,81,100,100
Jigglypuff,39,Normal,Fairy,115,45,20,45,25,20
Wigglytuff,40,Normal,Fairy,140,70,45,85,50,45
Zubat,41,Poison,Flying,40,45,35,30,40,55
Golbat,42,Poison,Flying,75,80,70,65,75,90
Oddish,43,Grass,Poison,45,50,55,75,65,30
Gloom,44,Grass,Poison,60,65,70,85,75,40
